Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2021-08-09,FlyDubai,Chennai,Dubai,Business,First Flyer,26.787126375689958
2021-08-10,FlyDubai,Chennai,Dubai,Business,First Flyer,27.65174424700224
2021-08-11,FlyDubai,Chennai,Dubai,Business,First Flyer,27.32448161964139
2021-08-12,FlyDubai,Chennai,Dubai,Business,First Flyer,24.69039515608697
2021-08-13,FlyDubai,Chennai,Dubai,Business,First Flyer,25.895377680075434
2021-08-14,FlyDubai,Chennai,Dubai,Business,First Flyer,26.28005805768309
2021-08-15,FlyDubai,Chennai,Dubai,Business,First Flyer,27.798275015273987
2021-08-16,FlyDubai,Chennai,Dubai,Business,First Flyer,26.836654332919373
2021-08-17,FlyDubai,Chennai,Dubai,Business,First Flyer,27.70127220400364
2021-08-18,FlyDubai,Chennai,Dubai,Business,First Flyer,27.374009576650096
2021-08-19,FlyDubai,Chennai,Dubai,Business,First Flyer,24.739923113087514
2021-08-20,FlyDubai,Chennai,Dubai,Business,First Flyer,25.94490563707782
2021-08-21,FlyDubai,Chennai,Dubai,Business,First Flyer,26.32958601468232
2021-08-22,FlyDubai,Chennai,Dubai,Business,First Flyer,27.847802972278217
2021-08-23,FlyDubai,Chennai,Dubai,Business,First Flyer,26.886182289451778
2021-08-24,FlyDubai,Chennai,Dubai,Business,First Flyer,27.750800160054563
2021-08-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.423537532222046
2021-08-26,FlyDubai,Chennai,Dubai,Business,First Flyer,24.789451068192484
2021-08-27,FlyDubai,Chennai,Dubai,Business,First Flyer,25.99443359170401
2021-08-28,FlyDubai,Chennai,Dubai,Business,First Flyer,26.379113968833185
2021-08-29,FlyDubai,Chennai,Dubai,Business,First Flyer,27.89733092595279
2021-08-30,FlyDubai,Chennai,Dubai,Business,First Flyer,26.9357102431242
2021-08-31,FlyDubai,Chennai,Dubai,Business,First Flyer,27.800328113733997
2021-09-01,FlyDubai,Chennai,Dubai,Business,First Flyer,27.47306548590153
2021-09-02,FlyDubai,Chennai,Dubai,Business,First Flyer,24.838979021869267
2021-09-03,FlyDubai,Chennai,Dubai,Business,First Flyer,26.043961545502512
2021-09-04,FlyDubai,Chennai,Dubai,Business,First Flyer,26.42864192275133
2021-09-05,FlyDubai,Chennai,Dubai,Business,First Flyer,27.946858879989552
2021-09-06,FlyDubai,Chennai,Dubai,Business,First Flyer,26.985238197282587
2021-09-07,FlyDubai,Chennai,Dubai,Business,First Flyer,27.849856068007625
2021-09-08,FlyDubai,Chennai,Dubai,Business,First Flyer,27.522593440296887
2021-09-09,FlyDubai,Chennai,Dubai,Business,First Flyer,24.888506976385276
2021-09-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.093489500023306
2021-09-11,FlyDubai,Chennai,Dubai,Business,First Flyer,26.478169877266843
2021-09-12,FlyDubai,Chennai,Dubai,Business,First Flyer,27.99638683450923
2021-09-13,FlyDubai,Chennai,Dubai,Business,First Flyer,27.034766151800117
2021-09-14,FlyDubai,Chennai,Dubai,Business,First Flyer,27.899384022530576
2021-09-15,FlyDubai,Chennai,Dubai,Business,First Flyer,27.572121394706393
2021-09-16,FlyDubai,Chennai,Dubai,Business,First Flyer,24.938034930685514
2021-09-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.143017454207133
2021-09-18,FlyDubai,Chennai,Dubai,Business,First Flyer,26.52769783134638
2021-09-19,FlyDubai,Chennai,Dubai,Business,First Flyer,28.045914788477724
2021-09-20,FlyDubai,Chennai,Dubai,Business,First Flyer,27.084294105661197
2021-09-21,FlyDubai,Chennai,Dubai,Business,First Flyer,27.948911976279316
2021-09-22,FlyDubai,Chennai,Dubai,Business,First Flyer,27.62164934845771
2021-09-23,FlyDubai,Chennai,Dubai,Business,First Flyer,24.98756288442867
2021-09-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.192545407953183
2021-09-25,FlyDubai,Chennai,Dubai,Business,First Flyer,26.577225785091308
2021-09-26,FlyDubai,Chennai,Dubai,Business,First Flyer,28.09544274221865
2021-09-27,FlyDubai,Chennai,Dubai,Business,First Flyer,27.13382206001912
2021-09-28,FlyDubai,Chennai,Dubai,Business,First Flyer,27.998439931255714
2021-09-29,FlyDubai,Chennai,Dubai,Business,First Flyer,27.671177304050833
2021-09-30,FlyDubai,Chennai,Dubai,Business,First Flyer,25.037090840639536
2021-10-01,FlyDubai,Chennai,Dubai,Business,First Flyer,26.242073364780193
2021-10-02,FlyDubai,Chennai,Dubai,Business,First Flyer,26.626753742533403
2021-10-03,FlyDubai,Chennai,Dubai,Business,First Flyer,28.14497070028021
2021-10-04,FlyDubai,Chennai,Dubai,Business,First Flyer,27.183350018078475
2021-10-05,FlyDubai,Chennai,Dubai,Business,First Flyer,28.047967889313092
2021-10-06,FlyDubai,Chennai,Dubai,Business,First Flyer,27.720705262104484
2021-10-07,FlyDubai,Chennai,Dubai,Business,First Flyer,25.086618798693113
2021-10-08,FlyDubai,Chennai,Dubai,Business,First Flyer,26.291601322053435
2021-10-09,FlyDubai,Chennai,Dubai,Business,First Flyer,26.67628169903463
2021-10-10,FlyDubai,Chennai,Dubai,Business,First Flyer,28.19449865599868
2021-10-11,FlyDubai,Chennai,Dubai,Business,First Flyer,27.23287797301825
2021-10-12,FlyDubai,Chennai,Dubai,Business,First Flyer,28.097495843472508
2021-10-13,FlyDubai,Chennai,Dubai,Business,First Flyer,27.770233215489085
2021-10-14,FlyDubai,Chennai,Dubai,Business,First Flyer,25.13614675130082
2021-10-15,FlyDubai,Chennai,Dubai,Business,First Flyer,26.34112927465674
2021-10-16,FlyDubai,Chennai,Dubai,Business,First Flyer,26.725809651635778
2021-10-17,FlyDubai,Chennai,Dubai,Business,First Flyer,28.244026608601732
2021-10-18,FlyDubai,Chennai,Dubai,Business,First Flyer,27.282405925620466
2021-10-19,FlyDubai,Chennai,Dubai,Business,First Flyer,28.14702379607588
2021-10-20,FlyDubai,Chennai,Dubai,Business,First Flyer,27.81976116809485
2021-10-21,FlyDubai,Chennai,Dubai,Business,First Flyer,25.185674703918707
2021-10-22,FlyDubai,Chennai,Dubai,Business,First Flyer,26.390657227285732
2021-10-23,FlyDubai,Chennai,Dubai,Business,First Flyer,26.77533760427502
2021-10-24,FlyDubai,Chennai,Dubai,Business,First Flyer,28.293554561245177
2021-10-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.33193387827396
2021-10-26,FlyDubai,Chennai,Dubai,Business,First Flyer,28.1965517487362
2021-10-27,FlyDubai,Chennai,Dubai,Business,First Flyer,27.869289120756164
2021-10-28,FlyDubai,Chennai,Dubai,Business,First Flyer,25.23520265658289
2021-10-29,FlyDubai,Chennai,Dubai,Business,First Flyer,26.440185179952806
2021-10-30,FlyDubai,Chennai,Dubai,Business,First Flyer,26.824865556936828
2021-10-31,FlyDubai,Chennai,Dubai,Business,First Flyer,28.343082513913036
2021-11-01,FlyDubai,Chennai,Dubai,Business,First Flyer,27.381461830945238
2021-11-02,FlyDubai,Chennai,Dubai,Business,First Flyer,28.246079701405964
2021-11-03,FlyDubai,Chennai,Dubai,Business,First Flyer,27.91881707342173
2021-11-04,FlyDubai,Chennai,Dubai,Business,First Flyer,25.284730609252463
2021-11-05,FlyDubai,Chennai,Dubai,Business,First Flyer,26.489713132618835
2021-11-06,FlyDubai,Chennai,Dubai,Business,First Flyer,26.874393509603845
2021-11-07,FlyDubai,Chennai,Dubai,Business,First Flyer,28.392610466580898
2021-11-08,FlyDubai,Chennai,Dubai,Business,First Flyer,27.430989783608
2021-11-09,FlyDubai,Chennai,Dubai,Business,First Flyer,28.295607654071006
2021-11-10,FlyDubai,Chennai,Dubai,Business,First Flyer,27.968345026094074
